Algorithm,Data Type,Data Ordering,Array size,Standard deviation,Standard error,Mean,Minimum time,Maximum time,Median,Number of iterations,First quartile,Third quartile,Interquartile range,First result,Last result,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29
BUBBLE_SORT_WHILE_NEEDED,INTEGER,DESC,100,93.37525844081445,17.04791178696958,25089.166666666668,24993,34172,25067.0,30,25033.0,25091.0,58.0,34172.0,25030.0,25058,25166,25401,25033,25250,25372,25128,25094,25091,25011,25017,25023,25030,25102,25037,25091,25083,25067,25071,25026,25057,25060,25055,25073,25052,25040,25083,24993,25081,25030
BUBBLE_SORT_WHILE_NEEDED,INTEGER,ASC,1000,96.10875783888446,17.546978214052825,2453.2,2358,8038,2430.0,30,2381.0,2471.0,90.0,8038.0,2449.0,2474,2471,2647,2460,2743,2396,2432,2364,2680,2381,2417,2409,2416,2430,2438,2448,2368,2358,2369,2383,2379,2372,2414,2381,2407,2597,2522,2459,2532,2449
BUBBLE_SORT_WHILE_NEEDED,INTEGER,RANDOM,1000,47258.14408342757,8628.117180107527,1740217.3,1703487,2319263,1719875.0,30,1710221.0,1748994.0,38773.0,1712020.0,1792569.0,1757931,1734376,1708621,1719615,1724938,1725804,1709128,1717594,1710267,1706005,1737064,1713487,1715579,1705874,1711143,1748994,1706897,1708603,1705204,1715180,1710221,1719875,1729085,1765973,1815300,1808308,1821003,1919663,1742218,1792569
BUBBLE_SORT_WHILE_NEEDED,INTEGER,DESC,1000,80051.67241931232,14615.368916690504,2128837.933333333,2083507,2555452,2088771.0,30,2084172.0,2140277.0,56105.0,2492622.0,2181111.0,2083582,2140124,2094250,2083955,2088039,2093142,2090426,2313048,2266277,2123230,2086424,2441718,2166098,2088771,2084172,2140277,2173700,2142803,2086170,2083572,2084521,2086155,2083595,2085175,2083551,2139620,2083695,2083507,2084430,2181111
BUBBLE_SORT_WHILE_NEEDED,FLOAT,ASC,100,224.287573341805,40.949121095800315,3478.866666666667,3221,43948,3386.0,30,3353.0,3483.0,130.0,43948.0,3367.0,3343,3302,4102,3394,3776,3256,3377,3349,3381,3360,3483,3353,4134,3300,3386,3639,3320,3352,3416,3359,3409,3442,3520,3940,3450,3687,3361,3375,3433,3367
BUBBLE_SORT_WHILE_NEEDED,FLOAT,RANDOM,100,27452.347801660486,5012.090049148936,111698.9,93578,309649,97957.0,30,97011.0,107732.0,10721.0,309649.0,93578.0,97724,97957,97669,98289,97011,97800,97798,97030,99274,98199,127273,97346,190915,99981,121516,97354,181897,94188,107732,94566,158073,96692,106879,94149,158429,93746,104919,95168,157815,93578
BUBBLE_SORT_WHILE_NEEDED,FLOAT,DESC,100,136.27113495609487,24.879591517427976,33582.333333333336,33521,40470,33546.0,30,33540.0,33552.0,12.0,40470.0,33545.0,33536,33564,33539,33617,33548,33545,33542,33549,33540,33553,33566,33539,33537,33587,33548,33551,33525,33541,33546,33539,33552,33541,33551,34246,33541,33544,33859,33548,33531,33545
BUBBLE_SORT_WHILE_NEEDED,FLOAT,ASC,1000,136.6968259405544,24.957311702332994,3197.6666666666665,3055,10300,3191.0,30,3096.0,3249.0,153.0,10300.0,3227.0,3203,3229,3219,3191,3685,3365,3197,3332,3127,3353,3081,3104,3120,3096,3096,3108,3055,3094,3099,3143,3086,3069,3271,3060,3097,3249,3465,3238,3271,3227
BUBBLE_SORT_WHILE_NEEDED,FLOAT,RANDOM,1000,180532.0637222836,32960.49455121827,2140588.8,1998058,2711127,2074750.0,30,2007050.0,2208964.0,201914.0,2155741.0,2006459.0,2104713,2006086,2044519,2003930,2007050,2004805,2004952,2061175,2007117,2006258,2009255,2005544,2093148,2187192,2711127,2342061,2627461,2147175,2208964,2074750,2376581,2051335,2355877,2075219,2228762,2048511,2264829,2008110,2144699,2006459
BUBBLE_SORT_WHILE_NEEDED,FLOAT,DESC,1000,244822.7951709404,44698.32250219697,2869127.2333333334,2684654,3480660,2727767.0,30,2688175.0,3080966.0,392791.0,2773102.0,2696487.0,2960849,3080966,2690359,2727767,2819150,2871375,2688493,2687071,2685548,2691746,2687390,2685737,2700001,2688680,2686679,2685577,2817613,3206162,3480660,3125100,3119642,3211593,3410526,3312702,2779823,2688175,2686255,2810313,2691378,2696487
