Algorithm,Data Type,Data Ordering,Array size,Standard deviation,Standard error,Mean,Minimum time,Maximum time,Median,N last iterations,First quartile,Third quartile,Interquartile range,First result,Last result,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29
BUBBLE_SORT_PASS_PER_ITEM,STRING,DESC,10000,5219019.279548161,952858.1958209627,6.528452472666667E8,646248291,701548750,6.51061417E8,30,6.49277833E8,6.55652542E8,6374709.0,6.76112583E8,6.53633625E8,658944833,655652542,648435000,648773500,649277833,647045167,647557167,651282458,650535542,649981416,649354250,652281958,649755125,650673750,648031209,649947750,648584375,651889000,652449292,651061417,650740625,653853333,657026167,667030750,667938708,659795542,658523750,656635417,648665917,653633625
BUBBLE_SORT_UNTIL_NO_CHANGE,INTEGER,ASC,100,23.54242034191802,4.2982382265123285,619.4333333333333,583,11666,625.0,30,625.0,625.0,0.0,11666.0,709.0,625,583,583,625,625,583,625,625,625,583,584,583,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,709
BUBBLE_SORT_UNTIL_NO_CHANGE,INTEGER,RANDOM,100,35.18276093012979,6.4234639322478415,16352.8,16250,201666,16375.0,30,16333.0,16375.0,42.0,201666.0,16375.0,16334,16417,16292,16375,16375,16375,16292,16333,16416,16333,16375,16333,16292,16375,16375,16333,16333,16375,16333,16334,16375,16375,16333,16334,16375,16375,16333,16417,16292,16375
BUBBLE_SORT_UNTIL_NO_CHANGE,INTEGER,DESC,100,42.35680451697093,7.733259099260564,22234.633333333335,22125,31708,22250.0,30,22208.0,22250.0,42.0,27125.0,22166.0,22250,22166,22291,22250,22250,22209,22250,22250,22208,22250,22166,22250,22292,22208,22250,22333,22208,22167,22250,22250,22208,22250,22250,22167,22292,22250,22209,22208,22291,22166
BUBBLE_SORT_UNTIL_NO_CHANGE,INTEGER,ASC,1000,833.7165179017519,152.21511447314973,1848.6333333333334,1625,6834,1708.0,30,1667.0,1708.0,41.0,6834.0,1750.0,1667,1667,1708,1666,1708,1709,1708,1666,1666,1708,1667,1709,1875,1709,1708,1666,1708,1667,1667,1667,1709,1667,1667,1667,1708,1708,1667,1667,6333,1750
BUBBLE_SORT_UNTIL_NO_CHANGE,INTEGER,RANDOM,1000,3690.130271864848,673.7225300110161,1691910.9,1685542,1813833,1691125.0,30,1689166.0,1694416.0,5250.0,1721875.0,1689375.0,1688416,1689166,1689583,1698250,1694708,1689791,1692416,1690083,1696000,1689916,1695791,1688583,1686584,1697208,1688166,1691125,1694083,1694416,1691416,1687208,1691917,1688584,1703208,1688166,1693625,1690625,1690834,1695042,1693042,1689375
BUBBLE_SORT_UNTIL_NO_CHANGE,INTEGER,DESC,1000,3392.7593581364154,619.4302775460211,2143031.933333333,2137666,2305959,2141042.0,30,2140500.0,2147083.0,6583.0,2147291.0,2147375.0,2141667,2140334,2140458,2147083,2140334,2145083,2140625,2147250,2140375,2142291,2148125,2140292,2140792,2140500,2151542,2140500,2137708,2141042,2147417,2144750,2140667,2140375,2147416,2142333,2141000,2147666,2140541,2140583,2144834,2147375
BUBBLE_SORT_UNTIL_NO_CHANGE,INTEGER,ASC,10000,663.2546821043433,121.09318358648893,18426.4,14625,284083,18500.0,30,17875.0,18875.0,1000.0,17917.0,18500.0,18250,19000,18083,19042,18083,19583,17834,18875,17917,17875,18959,19041,18625,17875,18583,17542,18833,17791,20500,18500,18959,17917,18625,17583,18542,17833,17625,18792,17625,18500
BUBBLE_SORT_UNTIL_NO_CHANGE,INTEGER,RANDOM,10000,1776292.9831422647,324305.2452017207,1.8409225423333332E8,181340291,187497750,1.8528125E8,30,1.82005709E8,1.85527125E8,3521416.0,1.83048917E8,1.81557167E8,185281250,185708167,185527125,185315542,185361333,185908292,185323125,185172583,185341167,185276625,185756209,185355125,185538833,185057167,185852792,185418250,186300500,185793167,183034250,181722833,182037459,182277166,181755917,182005709,181570416,181800750,182099625,181901208,181717875,181557167
BUBBLE_SORT_UNTIL_NO_CHANGE,INTEGER,DESC,10000,243098.49468344217,44383.50974455699,2.1699119033333334E8,212844292,218688666,2.16934208E8,30,2.16909291E8,2.16976375E8,67084.0,2.13347292E8,2.16928584E8,216954625,216993917,216914333,216918042,216916333,216961833,216912209,216934208,216906334,216949208,216935875,216909291,216912625,216980291,217116000,216906167,216961292,217119959,216981458,216908958,216915042,216903167,216987500,216907292,218268292,216941292,216908875,216976375,216906333,216928584
